Zip,Centroid Latitude,Centroid Longitude
43451,41.318301,-83.6174935
43452,41.5157923,-82.9809454
43456,41.63183,-82.8393923
43457,41.2673301,-83.4274872
43458,41.5304461,-83.2133648
43460,41.6048168,-83.561032
43462,41.283785,-83.7228646
43463,41.508665,-83.5080344
43464,41.4048795,-82.9241092
43465,41.5654721,-83.500302
43466,41.2953588,-83.5148215
43467,41.2432028,-83.483841
43468,41.5978668,-83.3414931
97824,45.3543012,-117.75647
97825,44.3851264,-119.496273
97826,45.6642964,-119.2323162
97827,45.5754239,-117.8380496
97828,45.7165633,-117.2219918
97830,44.9666148,-120.1831238
97833,44.9288884,-118.0148778
97834,44.9722752,-117.1611907
97835,45.9100466,-118.786552
97836,45.3211522,-119.4746198
97837,44.5566606,-118.067106
97838,45.853004,-119.2872655
97839,45.5912076,-119.5929846
97840,44.8560993,-116.9412302
97841,45.4651158,-117.9449249
97842,45.4235915,-116.6840285
97843,45.5023217,-119.9028655
97844,45.8841501,-119.5488363
97845,44.4018235,-118.9030597
97846,45.4626986,-117.0395863
97848,44.7221766,-119.5805545
97850,45.3035379,-118.1132779
97856,44.8152119,-119.1252546
97857,45.3592293,-117.52324
97859,45.5267188,-118.4214554
97862,45.9220632,-118.3160627
97864,44.805447,-119.4360525
97865,44.4614657,-119.1800399
97867,45.0780372,-117.993416
97868,45.409294,-118.8535816
97869,44.3975633,-118.6339795
97870,44.7879893,-117.1865631
97873,44.1320132,-119.0028841
97874,44.7775389,-119.8677073
97875,45.8185492,-119.1328535
97876,45.5164578,-118.0355249
97877,44.8171633,-118.5070548
97880,45.0886688,-118.8825062
97882,45.8974306,-119.3660707
97883,45.1924234,-117.6341548
94118,37.7800933,-122.4626054
94121,37.7767691,-122.4947073
94122,37.7587992,-122.4851269
94123,37.8009336,-122.4383664
94124,37.7288947,-122.3827787
94127,37.7360266,-122.457207
94128,37.6264115,-122.3857566
94129,37.7973402,-122.4644664
94130,37.8206878,-122.3695372
94131,37.7459165,-122.4414731
94132,37.7222142,-122.4840831
39531,30.4039945,-88.9661326
42409,37.5386369,-87.6929336
42410,37.2785392,-87.5117711
48755,43.7915009,-83.24562
42411,37.1982925,-88.0108129
42413,37.4486563,-87.4670006
48756,44.2337465,-83.9733794
48757,43.4698587,-83.6763108
39532,30.4883078,-88.9672949
39534,30.4077351,-88.9246855
48759,43.7304776,-83.3859038
39540,30.4431017,-88.8972376
48760,43.3230508,-83.255006
48761,44.5109239,-83.8917104
48762,44.8216604,-83.4616203
39553,30.410447,-88.643886
42420,37.8109246,-87.5182249
39556,30.4415296,-89.4399718
48763,44.2550899,-83.6149014
48765,44.1515564,-83.7179524
48766,44.105722,-83.8393919
39560,30.3763526,-89.1727305
48767,43.650518,-83.4631542
39561,30.702516,-89.1548832
42431,37.334539,-87.4811859
42436,37.4498319,-87.5201329
48768,43.3708306,-83.5775391
48770,44.2511832,-83.8141843
39562,30.5466824,-88.4894517
42437,37.6666566,-87.9380705
95825,38.5918966,-121.408467
95826,38.5438486,-121.3782843
95827,38.5561199,-121.3242596
95828,38.4887897,-121.3958378
95829,38.489546,-121.323452
95830,38.4905076,-121.2841712
95831,38.4957873,-121.5302555
95832,38.4474133,-121.4961382
95833,38.6190485,-121.5175516
33573,27.7228601,-82.3569228
37336,35.3088425,-84.9315118
33576,28.3357407,-82.337836
37337,35.787056,-84.8506641
37338,35.4297867,-85.2095188
37339,35.3799587,-85.6342303
37340,35.0340631,-85.5175194
33578,27.8622004,-82.3500444
37341,35.2241762,-85.0732942
33579,27.7968676,-82.2870817
37342,35.3919677,-85.9479998
33584,28.0054554,-82.294337
33585,28.7302331,-82.0860832
33592,28.1018705,-82.2832358
37343,35.1665869,-85.2122574
37345,35.0168286,-86.2030409
33594,27.9409344,-82.2424794
33596,27.8872,-82.2258518
37347,35.0634681,-85.6134179
37348,35.1316145,-86.434051
37350,34.9939205,-85.350184
61820,40.1078904,-88.2442664
53406,42.734536,-87.8648925
53501,42.6062097,-89.0654992
53502,42.7304062,-89.4380687
53503,43.1429758,-89.9575065
61821,40.1096457,-88.2749032
53504,42.7035159,-89.860349
53505,42.6610738,-88.8208971
