positive,negative,neutral,compound,overall
0.273,0.0,0.727,0.9682,Positive
0.135,0.034,0.83,0.8354,Positive
0.099,0.075,0.826,0.3862,Positive
0.125,0.103,0.772,0.8968,Positive
0.0,0.208,0.792,-0.925,Negative
0.065,0.093,0.842,-0.8687,Negative
0.298,0.054,0.648,0.9516,Positive
0.222,0.151,0.627,0.6243,Positive
0.342,0.0,0.658,0.8316,Positive
0.228,0.141,0.631,0.6096,Positive
0.0,0.236,0.764,-0.7964,Negative
0.0,0.202,0.798,-0.9784,Negative
0.249,0.041,0.711,0.9921,Positive
0.181,0.082,0.736,0.9669,Positive
0.331,0.018,0.652,0.9932,Positive
0.181,0.049,0.77,0.8579,Positive
0.015,0.1,0.885,-0.9098,Negative
0.371,0.0,0.629,0.9806,Positive
0.281,0.0,0.719,0.8603,Positive
0.534,0.0,0.466,0.847,Positive
0.158,0.082,0.76,0.8467,Positive
0.387,0.187,0.426,0.5699,Positive
0.366,0.0,0.634,0.9697,Positive
0.0,0.241,0.759,-0.5423,Negative
0.311,0.0,0.689,0.9647,Positive
0.097,0.139,0.765,-0.6494,Negative
0.451,0.0,0.549,0.8122,Positive
0.43,0.0,0.57,0.7774,Positive
0.069,0.0,0.931,0.4215,Positive
0.247,0.209,0.544,0.2621,Positive
0.194,0.117,0.69,0.4404,Positive
0.215,0.038,0.747,0.9531,Positive
0.175,0.0,0.825,0.764,Positive
0.123,0.0,0.877,0.5413,Positive
0.292,0.047,0.661,0.9432,Positive
0.628,0.0,0.372,0.8957,Positive
0.217,0.076,0.707,0.802,Positive
0.274,0.129,0.597,0.9637,Positive
0.2,0.215,0.585,-0.0772,Negative
0.73,0.0,0.27,0.8957,Positive
0.182,0.0,0.818,0.8442,Positive
0.13,0.0,0.87,0.2023,Positive
0.092,0.116,0.792,-0.4404,Negative
0.651,0.0,0.349,0.9036,Positive
0.209,0.0,0.791,0.8055,Positive
0.047,0.097,0.856,-0.4404,Negative
0.197,0.109,0.694,0.4019,Positive
0.35,0.0,0.65,0.7902,Positive
0.356,0.0,0.644,0.807,Positive
0.217,0.025,0.759,0.9131,Positive
0.291,0.047,0.662,0.9181,Positive
0.299,0.0,0.701,0.9314,Positive
0.128,0.077,0.795,0.25,Positive
0.147,0.033,0.82,0.8548,Positive
0.203,0.0,0.797,0.8807,Positive
0.125,0.072,0.803,0.2263,Positive
0.5,0.0,0.5,0.8748,Positive
0.462,0.0,0.538,0.9162,Positive
0.128,0.0,0.872,0.4215,Positive
0.21,0.0,0.79,0.4927,Positive
0.254,0.0,0.746,0.7783,Positive
0.268,0.0,0.732,0.788,Positive
0.272,0.0,0.728,0.4576,Positive
0.152,0.075,0.772,0.5402,Positive
0.05,0.268,0.682,-0.9751,Negative
0.201,0.0,0.799,0.9073,Positive
0.242,0.0,0.758,0.4927,Positive
0.254,0.0,0.746,0.7003,Positive
0.0,0.253,0.747,-0.5773,Negative
0.274,0.0,0.726,0.6597,Positive
0.146,0.065,0.79,0.5017,Positive
0.293,0.0,0.707,0.8341,Positive
0.096,0.051,0.854,0.5399,Positive
0.226,0.0,0.774,0.9512,Positive
0.37,0.0,0.63,0.9355,Positive
0.099,0.115,0.786,-0.1913,Negative
0.036,0.037,0.927,0.1937,Positive
0.149,0.0,0.851,0.4201,Positive
0.225,0.0,0.775,0.862,Positive
0.141,0.018,0.841,0.9436,Positive
0.306,0.0,0.694,0.9153,Positive
0.442,0.0,0.558,0.8832,Positive
0.289,0.0,0.711,0.93,Positive
0.06,0.0,0.94,0.4215,Positive
0.279,0.0,0.721,0.9187,Positive
0.088,0.0,0.912,0.3612,Positive
0.184,0.286,0.53,-0.4404,Negative
0.244,0.155,0.601,0.3612,Positive
0.379,0.0,0.621,0.9567,Positive
0.0,0.149,0.851,-0.836,Negative
0.285,0.027,0.687,0.9904,Positive
0.374,0.0,0.626,0.9427,Positive
0.105,0.047,0.848,0.5118,Positive
0.0,0.112,0.888,-0.7121,Negative
0.331,0.0,0.669,0.886,Positive
0.209,0.0,0.791,0.9585,Positive
0.245,0.066,0.689,0.9349,Positive
0.179,0.077,0.744,0.8698,Positive
0.195,0.046,0.759,0.7927,Positive
0.224,0.065,0.711,0.93,Positive
0.301,0.0,0.699,0.9907,Positive
0.13,0.209,0.661,-0.8007,Negative
0.101,0.02,0.879,0.8316,Positive
0.192,0.092,0.716,0.9255,Positive
0.125,0.084,0.791,0.5669,Positive
0.162,0.0,0.838,0.8885,Positive
0.453,0.0,0.547,0.9081,Positive
0.222,0.057,0.721,0.9602,Positive
0.113,0.066,0.822,0.2516,Positive
0.432,0.0,0.568,0.9653,Positive
0.378,0.033,0.588,0.9311,Positive
0.106,0.116,0.778,-0.2263,Negative
0.397,0.0,0.603,0.9776,Positive
0.105,0.0,0.895,0.836,Positive
0.19,0.0,0.81,0.9269,Positive
0.083,0.154,0.763,-0.6761,Negative
0.123,0.0,0.877,0.4201,Positive
0.48,0.0,0.52,0.8999,Positive
0.589,0.0,0.411,0.9168,Positive
0.127,0.031,0.842,0.9457,Positive
0.0,0.0,1.0,0.0,Negative
0.299,0.126,0.575,0.6705,Positive
0.444,0.0,0.556,0.886,Positive
0.35,0.0,0.65,0.8655,Positive
0.447,0.0,0.553,0.7553,Positive
0.491,0.0,0.509,0.8908,Positive
0.437,0.0,0.563,0.8777,Positive
0.0,0.285,0.715,-0.5563,Negative
0.118,0.036,0.846,0.7845,Positive
0.399,0.0,0.601,0.9483,Positive
0.416,0.0,0.584,0.9468,Positive
0.174,0.0,0.826,0.7083,Positive
0.484,0.0,0.516,0.9332,Positive
0.166,0.0,0.834,0.6997,Positive
0.0,0.305,0.695,-0.763,Negative
0.057,0.086,0.857,-0.5633,Negative
0.339,0.112,0.549,0.941,Positive
0.113,0.065,0.822,0.7996,Positive
0.228,0.062,0.71,0.9761,Positive
0.15,0.058,0.792,0.5423,Positive
0.186,0.193,0.621,-0.0258,Negative
0.0,0.212,0.788,-0.7346,Negative
0.063,0.148,0.79,-0.9564,Negative
0.073,0.172,0.755,-0.8833,Negative
0.266,0.033,0.7,0.946,Positive
0.216,0.024,0.76,0.9857,Positive
0.169,0.0,0.831,0.8104,Positive
0.084,0.165,0.751,-0.9671,Negative
0.146,0.1,0.754,0.2484,Positive
0.166,0.137,0.696,0.5607,Positive
0.048,0.189,0.763,-0.9776,Negative
0.272,0.0,0.728,0.8218,Positive
0.207,0.0,0.793,0.9604,Positive
